Type,Subcarrier Spacing,Symbol time,Subcarriers FFT,CP length,Average Received Power (mW),Threshold,SNR,Average Signal Power,Average Noise Power
Clean,488.281,0.002048,512,64,0.0295831,0,16.2546,-19.8175,-36.0721
Clean,244.141,0.004096,1024,64,0.0233699,0,16.2632,-19.82,-36.0832
Clean,488.281,0.002048,512,64,0.0213661,0,16.2652,-19.8206,-36.0858
Clean,488.281,0.002048,512,64,0.0305284,0,16.2743,-19.8224,-36.0967
Clean,3906.25,0.000256,64,64,0.0266871,0,16.2713,-19.8214,-36.0927
Clean,244.141,0.004096,1024,64,0.0361643,0,16.2803,-19.8238,-36.1041
Clean,488.281,0.002048,512,64,0.0262456,0,16.2892,-19.8264,-36.1157
Clean,488.281,0.002048,512,64,0.02375,0,16.2932,-19.8277,-36.1209
Clean,488.281,0.002048,512,64,0.0342254,0,16.2931,-19.8278,-36.1209
Clean,244.141,0.004096,1024,64,0.0241712,0,16.3017,-19.8308,-36.1325
Clean,1953.12,0.000512,128,64,0.0235282,0,16.3104,-19.8326,-36.1429
Clean,488.281,0.002048,512,64,0.0373448,0,16.3146,-19.8335,-36.1481
Clean,488.281,0.002048,512,64,0.0365322,0,16.315,-19.8328,-36.1478
Clean,488.281,0.002048,512,64,0.0604567,0,16.3136,-19.8301,-36.1437
Clean,244.141,0.004096,1024,64,0.0356392,0,16.3169,-19.8307,-36.1475
Clean,488.281,0.002048,512,64,0.0336845,0,16.3234,-19.8309,-36.1543
Clean,244.141,0.004096,1024,64,0.0537296,0,16.3224,-19.8293,-36.1517
Clean,488.281,0.002048,512,64,0.0351708,0,16.3282,-19.8286,-36.1567
Clean,488.281,0.002048,512,64,0.0736154,0,16.332,-19.8292,-36.1612
Clean,488.281,0.002048,512,64,0.050074,0,16.3389,-19.8295,-36.1684
Clean,488.281,0.002048,512,64,0.0506949,0,16.3384,-19.828,-36.1664
Clean,244.141,0.004096,1024,64,0.0706927,0,16.3407,-19.8268,-36.1675
Clean,976.562,0.001024,256,64,0.0274517,0,16.3361,-19.8256,-36.1617
Clean,244.141,0.004096,1024,64,0.0282998,0,16.3437,-19.8271,-36.1708
Clean,244.141,0.004096,1024,64,0.0250326,0,16.3528,-19.8285,-36.1813
Clean,244.141,0.004096,1024,64,0.0310084,0,16.3569,-19.8289,-36.1858
Clean,244.141,0.004096,1024,64,0.250857,0,16.3537,-19.8284,-36.1821
Clean,488.281,0.002048,512,64,0.0254294,0,16.3621,-19.8305,-36.1925
Clean,244.141,0.004096,1024,64,0.0324741,0,16.3668,-19.8308,-36.1976
Clean,488.281,0.002048,512,64,0.0246513,0,16.3751,-19.8326,-36.2077
Clean,488.281,0.002048,512,64,0.151023,0,16.3716,-19.832,-36.2036
Clean,244.141,0.004096,1024,64,0.0261006,0,16.3757,-19.8332,-36.2088
Clean,244.141,0.004096,1024,64,0.171301,0,16.3789,-19.8328,-36.2117
Clean,488.281,0.002048,512,64,0.0297392,0,16.3875,-19.8348,-36.2223
Clean,976.562,0.001024,256,16,0.0289994,0,16.3963,-19.8364,-36.2326
Clean,3906.25,0.000256,64,8,0.0226576,0,16.4001,-19.8374,-36.2374
Clean,244.141,0.004096,1024,64,0.0322332,0,16.4038,-19.837,-36.2409
Clean,976.562,0.001024,256,64,0.0237576,0,16.4121,-19.8393,-36.2515
Clean,244.141,0.004096,1024,64,0.0315564,0,16.4167,-19.8397,-36.2564
Clean,244.141,0.004096,1024,64,0.0233885,0,16.4247,-19.8415,-36.2662
Clean,244.141,0.004096,1024,64,0.1641,0,16.4283,-19.8413,-36.2696
Clean,488.281,0.002048,512,64,0.0232583,0,16.433,-19.8427,-36.2757
Clean,488.281,0.002048,512,64,0.180706,0,16.4307,-19.84,-36.2708
Clean,244.141,0.004096,1024,64,0.110925,0,16.3954,-19.8384,-36.2338
Clean,488.281,0.002048,512,64,0.0309409,0,16.4033,-19.8384,-36.2417
Clean,244.141,0.004096,1024,64,0.038008,0,16.4069,-19.8387,-36.2456
Clean,244.141,0.004096,1024,64,0.0313822,0,16.406,-19.8361,-36.2422
Clean,488.281,0.002048,512,64,0.0243626,0,16.414,-19.8373,-36.2513
Clean,1953.12,0.000512,128,64,0.0393895,0,16.4219,-19.8372,-36.2592
Clean,488.281,0.002048,512,64,0.149351,0,16.4173,-19.8353,-36.2526
Clean,15625,6.40E-05,16,32,0.0422121,0,16.4254,-19.8359,-36.2612
Clean,488.281,0.002048,512,64,0.0346309,0,16.4313,-19.8361,-36.2674
Clean,488.281,0.002048,512,64,0.0484506,0,16.4356,-19.835,-36.2706
Clean,244.141,0.004096,1024,64,0.125893,0,16.4274,-19.8333,-36.2607
Clean,488.281,0.002048,512,64,0.0226981,0,16.4356,-19.8349,-36.2705
Clean,488.281,0.002048,512,64,0.0266242,0,16.4313,-19.8343,-36.2656
Clean,3906.25,0.000256,64,16,0.0483205,0,16.4338,-19.8347,-36.2685
Clean,488.281,0.002048,512,64,0.261758,0,16.4033,-19.8284,-36.2317
Clean,244.141,0.004096,1024,64,0.321653,0,16.3934,-19.826,-36.2194
Clean,1953.12,0.000512,128,64,0.0269895,0,16.3883,-19.8248,-36.2132
Clean,488.281,0.002048,512,64,0.0322958,0,16.3964,-19.8267,-36.2231
Clean,244.141,0.004096,1024,64,0.0320771,0,16.4038,-19.8283,-36.2321
Clean,488.281,0.002048,512,64,0.029484,0,16.4126,-19.8295,-36.2421
Clean,488.281,0.002048,512,64,0.0260414,0,16.4168,-19.8303,-36.2471
Clean,488.281,0.002048,512,32,0.0338715,0,16.425,-19.831,-36.256
Clean,1953.12,0.000512,128,32,0.0310791,0,16.4244,-19.83,-36.2544
Clean,976.562,0.001024,256,32,0.0270179,0,16.4283,-19.8309,-36.2592
Clean,976.562,0.001024,256,64,0.0305623,0,16.4349,-19.8313,-36.2662
Clean,244.141,0.004096,1024,64,0.0388806,0,16.4424,-19.832,-36.2743
Clean,488.281,0.002048,512,64,0.0316628,0,16.4413,-19.8312,-36.2725
Clean,244.141,0.004096,1024,64,0.0266023,0,16.445,-19.8323,-36.2773
Clean,488.281,0.002048,512,64,0.0286775,0,16.4532,-19.8335,-36.2867
Clean,244.141,0.004096,1024,64,0.0521487,0,16.457,-19.8334,-36.2904
Clean,3906.25,0.000256,64,64,0.0548728,0,16.4599,-19.8333,-36.2933
Clean,488.281,0.002048,512,64,0.0435181,0,16.4646,-19.8326,-36.2972
Clean,976.562,0.001024,256,16,0.108906,0,16.4585,-19.8284,-36.2868
Clean,488.281,0.002048,512,64,0.052326,0,16.4605,-19.8281,-36.2886
Clean,488.281,0.002048,512,64,0.0647334,0,16.4645,-19.8271,-36.2916
Clean,976.562,0.001024,256,64,0.0740463,0,16.4692,-19.8258,-36.2951
Clean,3906.25,0.000256,64,64,0.0904817,0,16.4519,-19.8222,-36.2741
Clean,244.141,0.004096,1024,64,0.0746937,0,16.4538,-19.822,-36.2758
Clean,244.141,0.004096,1024,64,0.0539275,0,16.4557,-19.8205,-36.2762
Clean,488.281,0.002048,512,64,0.0419897,0,16.4642,-19.8216,-36.2858
Clean,488.281,0.002048,512,64,0.0272167,0,16.4682,-19.822,-36.2902
Clean,976.562,0.001024,256,64,0.0382536,0,16.4761,-19.8225,-36.2985
Clean,488.281,0.002048,512,64,0.0361151,0,16.4768,-19.8215,-36.2983
Clean,488.281,0.002048,512,64,0.0290534,0,16.4846,-19.8229,-36.3075
Clean,244.141,0.004096,1024,64,0.0318265,0,16.489,-19.8225,-36.3115
Clean,488.281,0.002048,512,64,0.0333825,0,16.4892,-19.8207,-36.3099
Clean,488.281,0.002048,512,64,0.0503174,0,16.4973,-19.821,-36.3183
Clean,488.281,0.002048,512,64,0.0293386,0,16.5017,-19.8201,-36.3218
Clean,488.281,0.002048,512,64,0.106896,0,16.5003,-19.8203,-36.3206
Clean,488.281,0.002048,512,64,0.0254293,0,16.5076,-19.8223,-36.3299
Clean,488.281,0.002048,512,64,0.0955237,0,16.5111,-19.821,-36.3321
Clean,488.281,0.002048,512,64,0.0268026,0,16.5146,-19.8215,-36.3362
Clean,1953.12,0.000512,128,64,0.0361068,0,16.5148,-19.8213,-36.3362
Clean,1953.12,0.000512,128,32,0.0243053,0,16.521,-19.8228,-36.3438
Clean,976.562,0.001024,256,64,0.0256297,0,16.5249,-19.8233,-36.3482
Clean,488.281,0.002048,512,64,0.0282316,0,16.5241,-19.8228,-36.3469
Clean,244.141,0.004096,1024,64,0.0299796,0,16.5315,-19.8244,-36.3559
Clean,976.562,0.001024,256,16,0.0266568,0,16.5373,-19.8252,-36.3625
Clean,488.281,0.002048,512,64,0.0430401,0,16.5399,-19.8257,-36.3656
Clean,488.281,0.002048,512,64,0.0305121,0,16.5474,-19.8266,-36.374
Clean,488.281,0.002048,512,64,0.0391684,0,16.5528,-19.8262,-36.3791
Clean,244.141,0.004096,1024,64,0.100195,0,16.5476,-19.8246,-36.3722
Clean,488.281,0.002048,512,64,0.0362999,0,16.5543,-19.8257,-36.3801
Clean,976.562,0.001024,256,32,0.0334179,0,16.5612,-19.8257,-36.3869
Clean,488.281,0.002048,512,64,0.038774,0,16.5183,-19.8233,-36.3416
Clean,244.141,0.004096,1024,64,1.16532,1,16.5117,-19.8211,-36.3328
Clean,244.141,0.004096,1024,64,0.0356885,0,16.5186,-19.8218,-36.3404
Clean,3906.25,0.000256,64,32,0.0366492,0,16.5255,-19.822,-36.3475
Clean,488.281,0.002048,512,64,0.0415617,0,16.5285,-19.822,-36.3505
Clean,488.281,0.002048,512,64,0.0285068,0,16.5359,-19.8233,-36.3592
Clean,244.141,0.004096,1024,64,0.030496,0,16.5401,-19.8227,-36.3628
Clean,244.141,0.004096,1024,64,0.0761399,0,16.5347,-19.821,-36.3557
Clean,1953.12,0.000512,128,64,0.0363658,0,16.5162,-19.8202,-36.3364
Clean,488.281,0.002048,512,64,0.0326604,0,16.5236,-19.8211,-36.3447
Clean,976.562,0.001024,256,64,0.0643267,0,16.5295,-19.8221,-36.3516
Clean,244.141,0.004096,1024,64,0.038003,0,16.5275,-19.8212,-36.3487
Clean,488.281,0.002048,512,64,0.0272054,0,16.518,-19.8211,-36.3391
Clean,488.281,0.002048,512,64,0.0245548,0,16.5247,-19.8227,-36.3475
Clean,488.281,0.002048,512,64,0.0397192,0,16.5281,-19.8233,-36.3514
Clean,244.141,0.004096,1024,64,0.0384654,0,16.5355,-19.8236,-36.3591
Clean,1953.12,0.000512,128,32,0.451576,0,16.5243,-19.8217,-36.346
Clean,244.141,0.004096,1024,64,0.0294113,0,16.5316,-19.8229,-36.3545
Clean,488.281,0.002048,512,64,0.0317264,0,16.5351,-19.8226,-36.3577
Clean,976.562,0.001024,256,32,0.0721489,0,16.5253,-19.8202,-36.3455
Clean,488.281,0.002048,512,64,0.0327895,0,16.5326,-19.821,-36.3537
Clean,488.281,0.002048,512,64,0.0239928,0,16.5361,-19.8218,-36.3578
Clean,976.562,0.001024,256,64,0.034346,0,16.5433,-19.8221,-36.3654
Clean,488.281,0.002048,512,64,1.70921,1,16.5307,-19.819,-36.3498
Clean,488.281,0.002048,512,64,0.0467821,0,16.5367,-19.819,-36.3557
Clean,488.281,0.002048,512,64,0.0438522,0,16.5308,-19.8174,-36.3481
Clean,976.562,0.001024,256,16,0.0402999,0,16.537,-19.8176,-36.3545
Clean,1953.12,0.000512,128,32,0.0322697,0,16.538,-19.8154,-36.3534
Clean,244.141,0.004096,1024,64,0.0360717,0,16.5406,-19.8155,-36.3561
Clean,488.281,0.002048,512,64,0.244202,0,16.5347,-19.8133,-36.3481
Clean,488.281,0.002048,512,64,0.0301505,0,16.4942,-19.8113,-36.3055
Clean,976.562,0.001024,256,64,0.168887,0,16.4926,-19.8079,-36.3005
Clean,488.281,0.002048,512,64,0.0317832,0,16.4903,-19.8071,-36.2974
Clean,244.141,0.004096,1024,64,0.0526247,0,16.4895,-19.8061,-36.2957
Clean,488.281,0.002048,512,64,0.035004,0,16.4929,-19.805,-36.2979
Clean,488.281,0.002048,512,64,0.0678407,0,16.4899,-19.804,-36.2939
Clean,244.141,0.004096,1024,64,0.0257297,0,16.4805,-19.8048,-36.2853
Clean,976.562,0.001024,256,16,0.0336553,0,16.457,-19.8037,-36.2607
Clean,488.281,0.002048,512,64,0.0702907,0,16.4573,-19.8031,-36.2604
Clean,244.141,0.004096,1024,64,0.0312332,0,16.4606,-19.8038,-36.2644
Clean,244.141,0.004096,1024,64,0.0247489,0,16.4666,-19.8055,-36.2721
Clean,15625,6.40E-05,16,32,0.309053,0,16.4598,-19.8049,-36.2648
Clean,488.281,0.002048,512,64,0.0246573,0,16.4604,-19.8049,-36.2652
Clean,488.281,0.002048,512,64,0.0256281,0,16.4641,-19.8054,-36.2695
Clean,488.281,0.002048,512,64,0.362226,0,16.4546,-19.8042,-36.2587
Clean,3906.25,0.000256,64,32,0.0264814,0,16.458,-19.8049,-36.2629
Clean,244.141,0.004096,1024,64,0.031217,0,16.4615,-19.8056,-36.2671
Clean,488.281,0.002048,512,64,0.031834,0,16.4647,-19.8065,-36.2711
Clean,7812.5,0.000128,32,64,0.0259497,0,16.4614,-19.805,-36.2665
